state,district,month,risk_score,age_verification_decision,disaster_alert,kendra_action
Andhra Pradesh,dr b r ambedkar konaseema,10,0.014897418,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,east godavari,9,0.0053652143,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,east godavari,10,0.002858643,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,east godavari,11,0.0060330792,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,east godavari,12,0.017380623,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,eluru,9,0.0049132723,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,eluru,11,0.0019295693,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,guntur,9,0.0027231548,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,guntur,10,0.3510245,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,guntur,11,0.00062392384,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,guntur,12,0.068314105,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,hanumakonda,9,0.00424055,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,hanumakonda,10,0.003653667,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,hanumakonda,11,0.007523306,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,hanumakonda,12,0.005020947,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,hyderabad,9,0.0021913252,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,hyderabad,10,0.00072383246,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,hyderabad,11,0.010834677,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,hyderabad,12,0.06463424,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jagitial,9,0.0011601372,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jagitial,10,0.93905073,DEFER_VERIFICATION,NORMAL,CHILD_UPDATE_CAMPS
Andhra Pradesh,jagitial,11,0.00031339677,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jagitial,12,0.00024250573,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jangoan,9,0.08353416,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jangoan,10,0.006636163,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jangoan,11,0.0019623628,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jangoan,12,0.019734643,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jayashankar bhupalpally,9,0.00033888058,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jayashankar bhupalpally,10,0.004036323,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jayashankar bhupalpally,11,0.057710644,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jayashankar bhupalpally,12,0.00094592414,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jogulamba gadwal,9,0.0020650348,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jogulamba gadwal,10,0.022218714,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,jogulamba gadwal,11,0.914552,DEFER_VERIFICATION,NORMAL,INCREASE_ADULT_CAPACITY
Andhra Pradesh,jogulamba gadwal,12,0.001781461,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,k v rangareddy,9,0.00033679302,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,k v rangareddy,10,0.0070528137,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,k v rangareddy,11,0.0017787598,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,k v rangareddy,12,0.0001545625,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,kakinada,9,0.020173516,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,kakinada,10,0.093409166,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,kakinada,11,0.0049243025,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,kakinada,12,0.001412974,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,kamareddy,9,0.0069091036,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,kamareddy,10,0.0005436049,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,kamareddy,11,0.008064943,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,kamareddy,12,0.0047370614,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,karimnagar,9,0.0016621255,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,karimnagar,10,0.007379271,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,karimnagar,11,0.09258213,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,karimnagar,12,0.52888304,AGE_NOT_VERIFIED,NORMAL,OFF_PEAK_ADVISORY
Andhra Pradesh,khammam,9,0.0026913045,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,khammam,10,0.4970571,AGE_NOT_VERIFIED,NORMAL,OFF_PEAK_ADVISORY
Andhra Pradesh,khammam,11,0.0028113988,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,khammam,12,0.08942992,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,komaram bheem,9,0.0030914138,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,komaram bheem,10,0.30228835,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,komaram bheem,11,0.047397275,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,komaram bheem,12,0.732331,AGE_NOT_VERIFIED,NORMAL,DEPLOY_MOBILE_UNIT
Andhra Pradesh,krishna,9,0.93987465,DEFER_VERIFICATION,NORMAL,INCREASE_ADULT_CAPACITY
Andhra Pradesh,krishna,10,0.5968295,AGE_VERIFIED_18_PLUS,NORMAL,OFF_PEAK_ADVISORY
Andhra Pradesh,krishna,11,0.07163439,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,krishna,12,0.014069818,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,krishnagiri,11,0.00041593882,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,kurnool,9,0.0031736903,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,kurnool,10,0.5812931,AGE_VERIFIED_18_PLUS,NORMAL,OFF_PEAK_ADVISORY
Andhra Pradesh,kurnool,11,0.003784217,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,kurnool,12,0.00026468743,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mahabubabad,9,0.03293501,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mahabubabad,10,0.006391339,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mahabubabad,11,0.003851366,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mahabubabad,12,0.04390012,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mahabubnagar,9,0.010464345,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mahabubnagar,10,0.96015114,DEFER_VERIFICATION,NORMAL,INCREASE_ADULT_CAPACITY
Andhra Pradesh,mahabubnagar,11,0.000729243,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mahabubnagar,12,0.07970917,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mancherial,9,0.0060346946,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mancherial,10,0.0137933735,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mancherial,11,0.0004391659,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mancherial,12,0.27571875,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,medak,9,0.0059433733,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,medak,10,0.0020368707,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,medak,11,0.0003853995,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,medak,12,0.12843129,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,medchal malkajgiri,9,0.10248055,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,medchal malkajgiri,10,0.037310537,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,medchal malkajgiri,11,0.001000992,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,medchal malkajgiri,12,0.00074581464,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mulugu,9,0.009062588,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mulugu,10,0.000597897,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mulugu,11,0.007950576,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,mulugu,12,0.0021267293,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,n t r,12,0.0025416068,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nagarkurnool,9,0.0246922,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nagarkurnool,10,0.0013024012,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nagarkurnool,11,0.000770335,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nagarkurnool,12,0.19894622,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nalgonda,9,0.003270218,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nalgonda,10,0.0615169,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nalgonda,11,0.019480715,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nalgonda,12,0.14165029,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,narayanpet,9,0.022534283,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,narayanpet,10,0.9796045,DEFER_VERIFICATION,NORMAL,INCREASE_ADULT_CAPACITY
