state,district,month,risk_score,update_spike_ratio,disaster_alert
Andhra Pradesh,jayashankar bhupalpally,12,0.00094592414,0.0,NORMAL
Andhra Pradesh,jogulamba gadwal,9,0.0020650348,0.7425506555423123,NORMAL
Andhra Pradesh,jogulamba gadwal,10,0.022218714,0.9487485101311085,NORMAL
Andhra Pradesh,jogulamba gadwal,11,0.914552,1.1823599523241954,NORMAL
Andhra Pradesh,jogulamba gadwal,12,0.001781461,1.1215733015494636,NORMAL
Andhra Pradesh,k v rangareddy,9,0.00033679302,0.9935524453530429,NORMAL
Andhra Pradesh,k v rangareddy,10,0.0070528137,0.8872464223934581,NORMAL
Andhra Pradesh,k v rangareddy,11,0.0017787598,1.0193426639408711,NORMAL
Andhra Pradesh,k v rangareddy,12,0.0001545625,1.0992294385909733,NORMAL
Andhra Pradesh,kakinada,9,0.020173516,0.8940232957800267,NORMAL
Andhra Pradesh,kakinada,10,0.093409166,0.7183502004964675,NORMAL
Andhra Pradesh,kakinada,11,0.0049243025,1.0005728470498376,NORMAL
Andhra Pradesh,kakinada,12,0.001412974,1.3855260645407677,NORMAL
Andhra Pradesh,kamareddy,9,0.0069091036,0.0,NORMAL
Andhra Pradesh,kamareddy,10,0.0005436049,0.8333333333333334,NORMAL
Andhra Pradesh,kamareddy,11,0.008064943,1.1666666666666667,NORMAL
Andhra Pradesh,kamareddy,12,0.0047370614,1.3333333333333333,NORMAL
Andhra Pradesh,karimnagar,9,0.0016621255,1.1201137171286426,NORMAL
Andhra Pradesh,karimnagar,10,0.007379271,0.8318845333770707,NORMAL
Andhra Pradesh,karimnagar,11,0.09258213,0.967251653818818,NORMAL
Andhra Pradesh,karimnagar,12,0.52888304,1.079875348532065,NORMAL
Andhra Pradesh,khammam,9,0.0026913045,0.8771271729185728,NORMAL
Andhra Pradesh,khammam,10,0.4970571,1.0392497712717292,NORMAL
Andhra Pradesh,khammam,11,0.0028113988,1.0736505032021957,NORMAL
Andhra Pradesh,khammam,12,0.08942992,1.0096065873741995,NORMAL
Andhra Pradesh,komaram bheem,9,0.0030914138,0.0,NORMAL
Andhra Pradesh,komaram bheem,10,0.30228835,0.0,NORMAL
Andhra Pradesh,komaram bheem,11,0.047397275,0.0,NORMAL
Andhra Pradesh,komaram bheem,12,0.732331,0.0,NORMAL
Andhra Pradesh,krishna,9,0.93987465,0.8139459409337475,NORMAL
Andhra Pradesh,krishna,10,0.5968295,0.864945060039872,NORMAL
Andhra Pradesh,krishna,11,0.07163439,1.1857140649388784,NORMAL
Andhra Pradesh,krishna,12,0.014069818,1.1352712998593661,NORMAL
Andhra Pradesh,krishnagiri,11,0.00041593882,0.5,NORMAL
Andhra Pradesh,kurnool,9,0.0031736903,0.6487819222330294,NORMAL
Andhra Pradesh,kurnool,10,0.5812931,1.034110701440883,NORMAL
Andhra Pradesh,kurnool,11,0.003784217,1.1437490103825012,NORMAL
Andhra Pradesh,kurnool,12,0.00026468743,1.1732678866294193,NORMAL
Andhra Pradesh,mahabubabad,9,0.03293501,0.0,NORMAL
Andhra Pradesh,mahabubabad,10,0.006391339,0.0,NORMAL
Andhra Pradesh,mahabubabad,11,0.003851366,0.0,NORMAL
Andhra Pradesh,mahabubabad,12,0.04390012,0.0,NORMAL
Andhra Pradesh,mahabubnagar,9,0.010464345,1.1499375837995285,NORMAL
Andhra Pradesh,mahabubnagar,10,0.96015114,1.0106801054140275,NORMAL
Andhra Pradesh,mahabubnagar,11,0.000729243,0.8930602431920107,NORMAL
Andhra Pradesh,mahabubnagar,12,0.07970917,0.9455823200332887,NORMAL
Andhra Pradesh,mancherial,9,0.0060346946,0.7816091954022989,NORMAL
Andhra Pradesh,mancherial,10,0.0137933735,0.6436781609195402,NORMAL
Andhra Pradesh,mancherial,11,0.0004391659,1.3333333333333333,NORMAL
Andhra Pradesh,mancherial,12,0.27571875,1.0574712643678161,NORMAL
Andhra Pradesh,medak,9,0.0059433733,1.021758220314177,NORMAL
Andhra Pradesh,medak,10,0.0020368707,0.9076007415357595,NORMAL
Andhra Pradesh,medak,11,0.0003853995,1.0424431651868475,NORMAL
Andhra Pradesh,medak,12,0.12843129,1.0274173090057566,NORMAL
Andhra Pradesh,medchal malkajgiri,9,0.10248055,0.9119547657512116,NORMAL
Andhra Pradesh,medchal malkajgiri,10,0.037310537,0.7778675282714055,NORMAL
Andhra Pradesh,medchal malkajgiri,11,0.001000992,1.0662358642972536,NORMAL
Andhra Pradesh,medchal malkajgiri,12,0.00074581464,1.2423263327948304,NORMAL
Andhra Pradesh,mulugu,9,0.009062588,0.0,NORMAL
Andhra Pradesh,mulugu,10,0.000597897,0.0,NORMAL
Andhra Pradesh,mulugu,11,0.007950576,0.0,NORMAL
Andhra Pradesh,mulugu,12,0.0021267293,0.0,NORMAL
Andhra Pradesh,n t r,12,0.0025416068,0.9998495561907628,NORMAL
Andhra Pradesh,nagarkurnool,9,0.0246922,1.017605633802817,NORMAL
Andhra Pradesh,nagarkurnool,10,0.0013024012,0.7253521126760564,NORMAL
Andhra Pradesh,nagarkurnool,11,0.000770335,1.1725352112676057,NORMAL
Andhra Pradesh,nagarkurnool,12,0.19894622,1.0704225352112675,NORMAL
Andhra Pradesh,nalgonda,9,0.003270218,0.9490970481403797,NORMAL
Andhra Pradesh,nalgonda,10,0.0615169,0.991661124469228,NORMAL
Andhra Pradesh,nalgonda,11,0.019480715,1.1039034122883307,NORMAL
Andhra Pradesh,nalgonda,12,0.14165029,0.9549291451373613,NORMAL
Andhra Pradesh,narayanpet,9,0.022534283,1.2275641025641026,NORMAL
Andhra Pradesh,narayanpet,10,0.9796045,0.6634615384615384,NORMAL
Andhra Pradesh,narayanpet,11,0.7585541,1.0256410256410255,NORMAL
Andhra Pradesh,narayanpet,12,0.012995971,1.0705128205128205,NORMAL
Andhra Pradesh,nellore,3,0.38193354,0.9295458394224678,NORMAL
Andhra Pradesh,nellore,6,0.0013851612,1.1621957262116072,NORMAL
Andhra Pradesh,nellore,7,0.0008323133,0.7114283384659772,NORMAL
Andhra Pradesh,nellore,9,0.2638393,0.7722360556207154,NORMAL
Andhra Pradesh,nellore,10,0.006672897,0.922345503239524,NORMAL
Andhra Pradesh,nellore,11,0.0015935799,1.3435212654528121,NORMAL
Andhra Pradesh,nellore,12,0.9181715,1.1584199401644537,NORMAL
Andhra Pradesh,nirmal,9,0.003499304,0.0,NORMAL
Andhra Pradesh,nirmal,10,0.0030008373,0.0,NORMAL
Andhra Pradesh,nirmal,11,0.78265536,0.0,NORMAL
Andhra Pradesh,nirmal,12,0.00834303,0.0,NORMAL
Andhra Pradesh,nizamabad,9,0.0018492137,0.8654869178156552,NORMAL
Andhra Pradesh,nizamabad,10,0.00062136585,0.9536423841059603,NORMAL
Andhra Pradesh,nizamabad,11,0.14086628,1.105634567365107,NORMAL
Andhra Pradesh,nizamabad,12,0.0058114678,1.073499077190316,NORMAL
Andhra Pradesh,parvathipuram manyam,9,0.003132207,0.6902106567534076,NORMAL
Andhra Pradesh,parvathipuram manyam,10,0.738851,0.7645600991325898,NORMAL
Andhra Pradesh,parvathipuram manyam,11,0.012266981,1.255266418835192,NORMAL
Andhra Pradesh,parvathipuram manyam,12,0.0012620781,1.285006195786865,NORMAL
Andhra Pradesh,peddapalli,9,0.006375162,0.0,NORMAL
Andhra Pradesh,peddapalli,10,0.0031797953,0.0,NORMAL
Andhra Pradesh,peddapalli,11,0.0063404264,0.0,NORMAL
Andhra Pradesh,peddapalli,12,0.00034967318,0.0,NORMAL
Andhra Pradesh,prakasam,7,0.27867478,0.6564996321210848,NORMAL
Andhra Pradesh,prakasam,9,0.0029878004,0.7855528694555393,NORMAL
Andhra Pradesh,prakasam,10,0.0007778585,0.9179235862938827,NORMAL
Andhra Pradesh,prakasam,11,0.0022487126,1.330342127391213,NORMAL
Andhra Pradesh,prakasam,12,0.0031870839,1.309517553079672,NORMAL
Andhra Pradesh,rajanna sircilla,9,0.0028030789,1.0344827586206897,NORMAL
Andhra Pradesh,rajanna sircilla,10,0.0049224426,0.6206896551724138,NORMAL
Andhra Pradesh,rajanna sircilla,11,0.007853879,0.4827586206896552,NORMAL
Andhra Pradesh,rajanna sircilla,12,0.873084,1.5862068965517242,WATCH
Andhra Pradesh,rangareddy,9,0.0017751246,0.7901234567901234,NORMAL
Andhra Pradesh,rangareddy,10,0.002067242,0.6172839506172839,NORMAL
Andhra Pradesh,rangareddy,12,0.0066956603,1.5555555555555556,WATCH
Andhra Pradesh,sangareddy,9,0.004894717,0.0,NORMAL
Andhra Pradesh,sangareddy,11,0.0006953908,0.0,NORMAL
Andhra Pradesh,siddipet,9,0.0002582232,0.0,NORMAL
Andhra Pradesh,siddipet,10,0.007091649,0.0,NORMAL
Andhra Pradesh,siddipet,11,0.013028961,0.0,NORMAL
Andhra Pradesh,siddipet,12,0.73259205,0.0,NORMAL
Andhra Pradesh,sri potti sriramulu nellore,9,0.00039563232,0.9236969863515618,NORMAL
Andhra Pradesh,sri potti sriramulu nellore,10,0.104066476,0.6800403041128515,NORMAL
Andhra Pradesh,sri potti sriramulu nellore,11,0.09547927,1.1750480901346523,NORMAL
Andhra Pradesh,sri potti sriramulu nellore,12,0.0010982162,1.2197490152972428,NORMAL
Andhra Pradesh,sri sathya sai,9,0.04725668,0.6912,NORMAL
Andhra Pradesh,sri sathya sai,10,0.00048790732,0.7981176470588235,NORMAL
Andhra Pradesh,sri sathya sai,11,0.010196078,1.1512470588235295,NORMAL
